"","State","year","Number.of.districts","Minimum","Maximum","Mean","score"
"1","Alabama",1995,"127",5691657.6,405581866.2,41016633.795,0.701875
"2","Alabama",2000,"128",7786867.2,551756732.8,53738214.0204,0.695625
"3","Alabama",2005,"131",6607702.2,661439354.4,54638425.2062,0.000293576388888889
"4","Alabama",2010,"132",6317688.3,631356264,62901271.5408,0.000281770833333333
"5","Alabama",2014,"136",5017000,580513000,56261816,0.000280555555555556
"6","Alaska",1995,"54",1120001.4,600126575.4,34629801.7338,0.64625
"7","Alaska",2000,"53",1246943.6,608239016,35975766.4,0.64
"8","Alaska",2005,"53",646102.6,717209039.8,40064765.2526,0.000265104166666667
"9","Alaska",2010,"53",689419.5,819718699.8,48519256.6089,0.000262673611111111
"10","Alaska",2014,"53",546000,820088000,51453887,0.000259375
"11","Arizona",1995,"228",27961.2,548803792.8,27636068.7198,0.65375
"12","Arizona",2000,"232",5499.2,612142073.2,31983026.8716,0.655
"13","Arizona",2005,"580",9697.6,599961419.2,15950563.992,0.000270138888888889
"14","Arizona",2010,"615",1085.7,627753911.4,17094862.2075,0.0002671875
"15","Arizona",2014,"641",0,565518000,14605493,0.000269444444444444
"16","Arkansas",1995,"328",981748.8,245960695.8,10206193.7286,0.6975
"17","Arkansas",2000,"325",992605.6,235552732.8,11351194.302,0.695
"18","Arkansas",2005,"277",509124,332581616.4,17546621.6684,0.000296701388888889
"19","Arkansas",2010,"277",513536.1,386295317.1,21825298.3641,0.00029375
"20","Arkansas",2014,"270",531000,372346000,19701144,0.000293055555555556
"21","California",1995,"1,082",127378.8,5760117491.4,43210269.1584,0.62875
"22","California",2000,"1,093",4124.4,7452103400,57645695.3268,0.634375
"23","California",2005,"1,087",3636.6,10510854070.2,73820494.99,0.000263888888888889
"24","California",2010,"1,071",9771.3,10570154802.9,72210815.7309,0.000262673611111111
"25","California",2014,"1,065",10000,8535364000,68131712,0.000259027777777778
"26","Colorado",1995,"194",236116.8,917928914.4,30156707.2104,0.67125
"27","Colorado",2000,"195",240590,1075948725.6,38382955.9624,0.675625
"28","Colorado",2005,"198",647314.8,958606547.8,44595980.9746,0.000289930555555556
"29","Colorado",2010,"198",650334.3,1091535637.5,49201132.6653,0.000294965277777778
"30","Colorado",2014,"198",730000,1295956000,47314015,0.000301388888888889
"31","Connecticut",1995,"166",826408.8,383031158.4,39791266.8264,0.631875
"32","Connecticut",2000,"181",0,490374662.4,42664480.4796,0.636875
"33","Connecticut",2005,"188",0,518288232,48238576.5158,0.0002671875
"34","Connecticut",2010,"195",0,639514213.8,53662030.7685,0.000266493055555556
"35","Connecticut",2014,"195",326000,505723000,52978851,0.000262847222222222
"36","Delaware",1995,"19",7032241.8,217465126.2,63171790.0326,0.626875
"37","Delaware",2000,"24",813881.6,264057836,60015003.65,0.625
"38","Delaware",2005,"32",1587982,357158971.4,58090821.7186,0.000256770833333333
"39","Delaware",2010,"40",135712.5,297135461.7,50229150.51,0.000252604166666667
"40","Delaware",2014,"41",23000,317247000,51595561,0.0002375
"41","District of Columbia",1995,"1",1100155161.6,1100155161.6,1100155161.6,0.60125
"42","District of Columbia",2000,"1",1180687863.6,1180687863.6,1180687863.6,0.5975
"43","District of Columbia",2005,"37",1247353.8,1316034627.6,42799801.2002,0.000250173611111111
"44","District of Columbia",2010,"57",1129128,1400605113.6,33868545.0411,0.000240451388888889
"45","District of Columbia",2014,"63",322000,1390702000,34285810,0.000227951388888889
"46","Florida",1995,"67",9070302.6,3672768862.8,312395161.7556,0.62125
"47","Florida",2000,"67",9266152,3652571389.6,352542918.4452,0.623125
"48","Florida",2005,"67",10418859,4169055213.4,431633879.8332,0.000255729166666667
"49","Florida",2010,"67",13153255.5,3983225931.3,441847637.3388,0.000251215277777778
"50","Florida",2014,"67",10691000,3591389000,395875493,0.000248958333333333
"51","Georgia",1995,"196",1603108.8,830456960.4,57794936.7096,0.600625
"52","Georgia",2000,"196",2159810.8,1164327743.6,76347062.6072,0.6125
"53","Georgia",2005,"196",3160205.4,1621631459.8,89632702.1106,0.000256423611111111
"54","Georgia",2010,"197",2108429.4,1857916067.7,98534357.0211,0.000250868055555556
"55","Georgia",2014,"209",1229000,1789145000,85246967,0.000251736111111111
"56","Hawaii",1995,"1",1797530790.6,1797530790.6,1797530790.6,0.621875
"57","Hawaii",2000,"1",1874554922.8,1874554922.8,1874554922.8,0.625625
"58","Hawaii",2005,"1",2140508821,2140508821,2140508821,0.000253993055555556
"59","Hawaii",2010,"1",2405322750.6,2405322750.6,2405322750.6,0.000251388888888889
"60","Hawaii",2014,"1",2515036000,2515036000,2515036000,0.000255555555555556
"61","Idaho",1995,"112",73009.8,196640245.8,15368604.8418,0.674375
"62","Idaho",2000,"113",90736.8,245704256,17932781.216,0.678125
"63","Idaho",2005,"117",122432.2,257952523.4,18972142.2,0.000280034722222222
"64","Idaho",2010,"137",119427,264529719.3,17069581.683,0.000277430555555556
"65","Idaho",2014,"148",141000,232033000,14100365,0.000238194444444444
"66","Illinois",1995,"916",43495.2,4033646983.8,20048371.4682,0.711875
"67","Illinois",2000,"1,067",0,5340432596.8,23286805.0856,0.728125
"68","Illinois",2005,"1,023",88490.6,5267617524.4,26112401.4382,0.000310069444444444
"69","Illinois",2010,"1,005",146569.5,5822967381,30854829.6672,0.000313715277777778
"70","Illinois",2014,"995",14000,6253045000,31349861,0.000312847222222222
"71","Indiana",1995,"313",383689.8,545418934.2,31651298.5932,0.6175
