State,1995,2000,2005,2010,2013,2014
United States,1013,1020,1518,1500,1497,1490
Alabama,1123,1113,1691,1623,1617,1616
Alaska,1034,1024,1527,1513,1485,1494
Arizona,1046,1048,1556,1539,1547,1552
Arkansas,1116,1112,1709,1692,1698,1688
California,1006,1015,1520,1513,1504,1492
Colorado,1074,1081,1670,1699,1735,1736
Connecticut,1011,1019,1539,1535,1525,1514
Delaware,1003,1000,1479,1455,1359,1368
District of Columbia,962,956,1441,1385,1309,1313
Florida,994,997,1473,1447,1448,1434
Georgia,961,980,1477,1445,1445,1450
Hawaii,995,1001,1463,1448,1460,1472
Idaho,1079,1085,1613,1598,1364,1372
Illinois,1139,1165,1786,1807,1802,1802
Indiana,988,1000,1493,1469,1474,1473
Iowa,1190,1196,1806,1777,1794,1755
Kansas,1150,1157,1738,1734,1753,1748
Kentucky,1093,1100,1679,1711,1746,1749
Louisiana,1109,1126,1712,1651,1667,1675
Maine,1002,1006,1493,1391,1387,1392
Maryland,1011,1018,1511,1492,1468,1462
Massachusetts,1011,1026,1547,1549,1556,1552
Michigan,1122,1133,1706,1760,1784,1788
Minnesota,1175,1169,1765,1778,1786,1778
Mississippi,1126,1117,1659,1660,1714,1713
Missouri,1139,1154,1760,1764,1771,1777
Montana,1093,1078,1607,1592,1637,1655
Nebraska,1135,1130,1725,1745,1745,1755
Nevada,1015,1024,1487,1460,1458,1458
New Hampshire,1034,1036,1553,1559,1566,1566
New Jersey,1003,1012,1507,1508,1526,1520
New Mexico,1102,1093,1649,1618,1617,1623
New York,996,1000,1486,1460,1468,1469
North Carolina,976,992,1493,1475,1483,1478
North Dakota,1195,1191,1815,1759,1816,1791
Ohio,1071,1073,1600,1606,1652,1657
Oklahoma,1123,1128,1713,1683,1697,1693
Oregon,1044,1052,1555,1540,1544,1546
Pennsylvania,990,999,1476,1473,1481,1485
Rhode Island,992,1000,1487,1477,1480,1472
South Carolina,954,974,1465,1436,1443,1442
South Dakota,1140,1159,1772,1737,1792,1753
Tennessee,1115,1115,1714,1710,1714,1723
Texas,995,992,1484,1446,1432,1410
Utah,1158,1145,1667,1667,1690,1708
Vermont,1006,1017,1534,1538,1554,1554
Virginia,1003,1011,1525,1516,1530,1533
Washington,1038,1054,1570,1560,1519,1496
West Virginia,1032,1039,1544,1512,1522,1501
Wisconsin,1163,1180,1765,1767,1782,1771
Wyoming,1088,1092,1640,1692,1762,1737
